# param.mu, -tC, rho1, E_exact*2/z, rho_exact

-8.584171247461903e-01 -4.710898079927086e-01 3.697073999677601e-01 -4.709486897462661e-01 3.696039459325922e-01
-8.484171247461902e-01 -4.719565378393801e-01 3.712314362040925e-01 -4.718342859792554e-01 3.711605038650617e-01
-8.384171247461902e-01 -4.728150589785348e-01 3.727585989927555e-01 -4.727087318866103e-01 3.727156865673529e-01
-8.284171247461902e-01 -4.736660279324387e-01 3.742902059502621e-01 -4.735720567302354e-01 3.742695137032548e-01
-8.184171247461900e-01 -4.745101560334013e-01 3.758277377732007e-01 -4.744242893039187e-01 3.758220048002237e-01
-8.084171247461902e-01 -4.753479297879730e-01 3.773723288497903e-01 -4.752654579383200e-01 3.773731792518767e-01
-7.984171247461900e-01 -4.761791905622864e-01 3.789239561748370e-01 -4.760955905058568e-01 3.789230563204514e-01
-7.884171247461902e-01 -4.770027714691280e-01 3.804806768342062e-01 -4.769147144254874e-01 3.804716551392247e-01
-7.784171247461904e-01 -4.778165596655382e-01 3.820386275721888e-01 -4.777228566673972e-01 3.820189947149003e-01
-7.684171247461902e-01 -4.786181576754526e-01 3.835931929027763e-01 -4.785200437575849e-01 3.835650939299591e-01
-7.584171247461904e-01 -4.794057494500220e-01 3.851406679895332e-01 -4.793063017823557e-01 3.851099715449766e-01
-7.484171247461902e-01 -4.801785458739951e-01 3.866792098234900e-01 -4.800816563927188e-01 3.866536462009070e-01
-7.384171247461904e-01 -4.809366413853142e-01 3.882086694669623e-01 -4.808461328086933e-01 3.881961364213349e-01
-7.284171247461901e-01 -4.816805963455087e-01 3.897298471819643e-01 -4.815997558235232e-01 3.897374606146955e-01
-7.184171247461903e-01 -4.824110742164744e-01 3.912438011351232e-01 -4.823425498078057e-01 3.912776370764640e-01
-7.084171247461901e-01 -4.831286457539757e-01 3.927514518141354e-01 -4.830745387135278e-01 3.928166839913143e-01
-6.984171247461903e-01 -4.838337284588194e-01 3.942534429936040e-01 -4.837957460780216e-01 3.943546194352497e-01
-6.884171247461901e-01 -4.846365276546634e-01 3.959895875639516e-01 -4.845061950278326e-01 3.958914613777022e-01
-6.784171247461903e-01 -4.853214770974364e-01 3.974937734766436e-01 -4.852059082825060e-01 3.974272276836062e-01
-6.684171247461901e-01 -4.859980964138854e-01 3.990013227265467e-01 -4.858949081582922e-01 3.989619361154436e-01
-6.584171247461903e-01 -4.866668373695158e-01 4.005134325740072e-01 -4.865732165717700e-01 4.004956043352622e-01
-6.484171247461901e-01 -4.873281843555585e-01 4.020314476292318e-01 -4.872408550433948e-01 4.020282499066677e-01
-6.384171247461903e-01 -4.879824580124842e-01 4.035564092560244e-01 -4.878978447009656e-01 4.035598902967904e-01
-6.284171247461900e-01 -4.886295226059325e-01 4.050883331725887e-01 -4.885442062830181e-01 4.050905428782272e-01
-6.184171247461903e-01 -4.892685285272039e-01 4.066255038157145e-01 -4.891799601421431e-01 4.066202249309580e-01
-6.084171247461900e-01 -4.898979395011318e-01 4.081644024134798e-01 -4.898051262482295e-01 4.081489536442405e-01
-5.984171247461902e-01 -4.905159805011433e-01 4.097006817846320e-01 -4.904197241916371e-01 4.096767461184796e-01
-5.884171247461900e-01 -4.911212623914762e-01 4.112306881891509e-01 -4.910237731862960e-01 4.112036193670749e-01
-5.784171247461902e-01 -4.917131420617858e-01 4.127524523555173e-01 -4.916172920727371e-01 4.127295903182461e-01
-5.684171247461900e-01 -4.922916563272964e-01 4.142656599634054e-01 -4.922002993210537e-01 4.142546758168379e-01
-5.584171247461902e-01 -4.928572263298868e-01 4.157710040617449e-01 -4.927728130337932e-01 4.157788926261017e-01
-5.484171247461900e-01 -4.934103782559773e-01 4.172695130041518e-01 -4.933348509487849e-01 4.173022574294583e-01
-5.384171247461902e-01 -4.939515813659649e-01 4.187621312477633e-01 -4.938864304418982e-01 4.188247868322403e-01
-5.284171247461900e-01 -4.944811905572695e-01 4.202495494663147e-01 -4.944275685297388e-01 4.203464973634148e-01
-5.184171247461902e-01 -4.950813950905513e-01 4.219692067593392e-01 -4.949582818722794e-01 4.218674054772875e-01
-5.084171247461904e-01 -4.955903500799255e-01 4.234574590863168e-01 -4.954785867754272e-01 4.233875275551872e-01
-4.984171247461902e-01 -4.960907050347038e-01 4.249490807748865e-01 -4.959884991935300e-01 4.249068799071337e-01
-4.884171247461904e-01 -4.965827241295470e-01 4.264451044163507e-01 -4.964880347318198e-01 4.264254787734869e-01
-4.784171247461901e-01 -4.970667083930886e-01 4.279467623949412e-01 -4.969772086487970e-01 4.279433403265796e-01
-4.684171247461903e-01 -4.975428837675115e-01 4.294551486385709e-01 -4.974560358585538e-01 4.294604806723324e-01
-4.584171247461901e-01 -4.980112212437259e-01 4.309706147424667e-01 -4.979245309330403e-01 4.309769158518550e-01
-4.484171247461903e-01 -4.984712499303739e-01 4.324920635444057e-01 -4.983827081042709e-01 4.324926618430279e-01
